CLEON;TYCHE;1
CLEON;OLYMPIA;1
CLEON;STORAX;1
CLEON;LYSANDER;1
CLEON;KNECHT;1
CLEON;DORUS;1
PAMPHILIUS;VIRENO;1
CARDENIO;CLEON;1
CARDENIO;PAMPHILIUS;2
CARDENIO;DIENER;1
CARDENIO;CELINDE;2
CARDENIO;TYCHE;1
CARDENIO;VIRENO;1
CARDENIO;OLYMPIA;2
CARDENIO;STORAX;1
CARDENIO;LYSANDER;2
CARDENIO;KNECHT;1
CARDENIO;DORUS;1
DIENER;PAMPHILIUS;1
CELINDE;CLEON;1
CELINDE;PAMPHILIUS;1
CELINDE;TYCHE;2
CELINDE;SYLVIA;1
CELINDE;VIRENO;1
CELINDE;OLYMPIA;2
CELINDE;STORAX;1
CELINDE;LYSANDER;2
CELINDE;KNECHT;1
CELINDE;DORUS;1
SYLVIA;TYCHE;1
VIRENO;ZEIT;1
OLYMPIA;PAMPHILIUS;1
OLYMPIA;TYCHE;1
OLYMPIA;VIRENO;2
OLYMPIA;ZEIT;1
OLYMPIA;REYEN;1
OLYMPIA;STORAX;1
MENSCH;VIRENO;1
MENSCH;OLYMPIA;1
MENSCH;ZEIT;1
MENSCH;REYEN;1
REYEN;VIRENO;1
REYEN;ZEIT;1
STORAX;TYCHE;1
LYSANDER;PAMPHILIUS;1
LYSANDER;TYCHE;1
LYSANDER;VIRENO;1
LYSANDER;OLYMPIA;2
LYSANDER;STORAX;1
KNECHT;TYCHE;1
KNECHT;OLYMPIA;1
KNECHT;STORAX;1
KNECHT;LYSANDER;1
DORUS;TYCHE;1
DORUS;OLYMPIA;1
DORUS;STORAX;1
DORUS;LYSANDER;1
DORUS;KNECHT;1
