CHOR DER APOSTEL, MÄRTYRER, ÄLTEREN ENGEL;DIE JÜNGEREN ENGEL;1
CHOR DER APOSTEL;ERSTER ENGEL;1
CHOR DER APOSTEL;ZWEITER ENGEL;1
CHOR DER APOSTEL;DRITTER ENGEL;1
CHOR DER APOSTEL;ERSTER UND ZWEITER ENGEL;1
CHOR DER APOSTEL;GOTT VATER;1
CHOR DER APOSTEL;DIE VORAUSEILENDEN ENGEL;1
CHOR DER APOSTEL;MARIA;1
CHOR DER APOSTEL;CHRISTUS;1
CHOR DER APOSTEL;DIE ENGEL;1
CHOR DER APOSTEL;MARIA MAGDALENA;1
CHOR DER APOSTEL;CHORUS DER APOSTEL, MÄRTYRER, ENGEL;1
CHOR DER APOSTEL;CHOR DER APOSTEL, MÄRTYRER, ÄLTEREN ENGEL;1
CHOR DER APOSTEL;DIE JÜNGEREN ENGEL;1
DIE JÜNGEREN ENGEL;ERSTER ENGEL;1
DIE JÜNGEREN ENGEL;ZWEITER ENGEL;1
DIE JÜNGEREN ENGEL;DRITTER ENGEL;1
DIE JÜNGEREN ENGEL;ERSTER UND ZWEITER ENGEL;1
DIE JÜNGEREN ENGEL;GOTT VATER;1
DIE JÜNGEREN ENGEL;DIE VORAUSEILENDEN ENGEL;1
DIE JÜNGEREN ENGEL;MARIA;1
DIE JÜNGEREN ENGEL;MARIA MAGDALENA;1
DON GIOFFRE;DONNA SANCIA;1
DON GIOFFRE;LUCREZIA;1
DON GIOFFRE;FRANCESCO BORGIA, DER BISCHOF;1
DON GIOFFRE;DON GIOVANNI;1
DON GIOFFRE;FRANCESCO BORGIA;1
DON GIOFFRE;ERSTER EDELMANN;1
DON GIOFFRE;ZWEITER EDELMANN;1
DON GIOFFRE;DRITTER EDELMANN;1
DON GIOFFRE;EINES DER MÄDCHEN;1
DON GIOFFRE;RODRIGO BORGIA;1
DER PAPST;DON GIOFFRE;1
DER PAPST;DONNA SANCIA;1
DER PAPST;LUCREZIA;1
DER PAPST;FRANCESCO BORGIA, DER BISCHOF;1
DER PAPST;DON GIOVANNI;1
DER PAPST;FRANCESCO BORGIA;1
DER PAPST;ERSTER EDELMANN;1
DER PAPST;ZWEITER EDELMANN;1
DER PAPST;DRITTER EDELMANN;1
DER PAPST;EINES DER MÄDCHEN;1
DER PAPST;DIE KURTISANE;1
DER PAPST;RODRIGO BORGIA;1
DER PAPST;DIE MÄDCHEN;1
DONNA SANCIA;LUCREZIA;1
DONNA SANCIA;FRANCESCO BORGIA, DER BISCHOF;1
DONNA SANCIA;FRANCESCO BORGIA;1
DONNA SANCIA;ERSTER EDELMANN;1
DONNA SANCIA;ZWEITER EDELMANN;1
DONNA SANCIA;DRITTER EDELMANN;1
DONNA SANCIA;EINES DER MÄDCHEN;1
DONNA SANCIA;RODRIGO BORGIA;1
LUCREZIA;ZWEITER EDELMANN;1
LUCREZIA;RODRIGO BORGIA;1
FRANCESCO BORGIA, DER BISCHOF;LUCREZIA;1
FRANCESCO BORGIA, DER BISCHOF;ZWEITER EDELMANN;1
FRANCESCO BORGIA, DER BISCHOF;RODRIGO BORGIA;1
DON GIOVANNI;DONNA SANCIA;1
DON GIOVANNI;LUCREZIA;1
DON GIOVANNI;FRANCESCO BORGIA, DER BISCHOF;1
DON GIOVANNI;FRANCESCO BORGIA;1
DON GIOVANNI;ERSTER EDELMANN;1
DON GIOVANNI;ZWEITER EDELMANN;1
DON GIOVANNI;DRITTER EDELMANN;1
DON GIOVANNI;EINES DER MÄDCHEN;1
DON GIOVANNI;RODRIGO BORGIA;1
FRANCESCO BORGIA;LUCREZIA;1
FRANCESCO BORGIA;FRANCESCO BORGIA, DER BISCHOF;1
FRANCESCO BORGIA;ZWEITER EDELMANN;1
FRANCESCO BORGIA;RODRIGO BORGIA;1
CESARE;DON GIOFFRE;1
CESARE;DER PAPST;1
CESARE;DONNA SANCIA;1
CESARE;LUCREZIA;1
CESARE;FRANCESCO BORGIA, DER BISCHOF;1
CESARE;DON GIOVANNI;1
CESARE;FRANCESCO BORGIA;1
CESARE;ERSTER EDELMANN;1
CESARE;ZWEITER EDELMANN;1
CESARE;DRITTER EDELMANN;1
CESARE;CHOR;1
CESARE;EINES DER MÄDCHEN;1
CESARE;DIE KURTISANE;1
CESARE;RODRIGO BORGIA;1
CESARE;DIE MÄDCHEN;1
ERSTER EDELMANN;LUCREZIA;1
ERSTER EDELMANN;FRANCESCO BORGIA, DER BISCHOF;1
ERSTER EDELMANN;FRANCESCO BORGIA;1
ERSTER EDELMANN;ZWEITER EDELMANN;1
ERSTER EDELMANN;RODRIGO BORGIA;1
DRITTER EDELMANN;LUCREZIA;1
DRITTER EDELMANN;FRANCESCO BORGIA, DER BISCHOF;1
DRITTER EDELMANN;FRANCESCO BORGIA;1
DRITTER EDELMANN;ERSTER EDELMANN;1
DRITTER EDELMANN;ZWEITER EDELMANN;1
DRITTER EDELMANN;EINES DER MÄDCHEN;1
DRITTER EDELMANN;RODRIGO BORGIA;1
BURCARD;DON GIOFFRE;1
BURCARD;DER PAPST;1
BURCARD;DONNA SANCIA;1
BURCARD;LUCREZIA;1
BURCARD;FRANCESCO BORGIA, DER BISCHOF;1
BURCARD;DON GIOVANNI;1
BURCARD;FRANCESCO BORGIA;1
BURCARD;CESARE;1
BURCARD;ERSTER EDELMANN;1
BURCARD;ZWEITER EDELMANN;1
BURCARD;DRITTER EDELMANN;1
BURCARD;CHOR;1
BURCARD;EINES DER MÄDCHEN;1
BURCARD;DIE KURTISANE;1
BURCARD;RODRIGO BORGIA;1
BURCARD;DIE MÄDCHEN;1
