EIN ALTES WEIB;EIN VETERAN;1
EIN ALTES WEIB;MEHRERE SOLDATEN;1
EIN ALTES WEIB;ERSTER;1
EIN ALTES WEIB;ZWEITER;1
EIN ALTES WEIB;STIMME AUS DEM WALDE;1
ERSTER;MANIPELFÜHRER;1
ERSTER;VERO;1
ERSTER;MEHRERE SOLDATEN;1
ERSTER;ZWEITER;4
ERSTER;STIMME AUS DEM WALDE;1
ERSTER;THUSNELDA;1
ERSTER;VARUS;2
ERSTER;SCHREIBER;1
ERSTER;HERMANN;3
ERSTER;FELDARZT;1
ERSTER;ZWEITER VEXILLAR;1
ERSTER;ERSTER VEXILLAR;1
ERSTER;VIELE CHERUSKER;1
ERSTER;INGOMAR;1
ERSTER;INGOMARS TRABANTEN;1
ERSTER;ERSTER BRUKTERER;1
ERSTER;FRITZE;1
ERSTER;STIMMEN;1
ERSTER;GRÜTTEMEIER;1
ERSTER;VIELE DEUTSCHE;1
ERSTER;VIELE;1
ERSTER;ERTSER;1
ERSTER;ERSTER CHERUSKER;1
ERSTER;ZWEITER CHERUSKER;1
ERSTER;ERSTER SOLDAT;1
ZWEITER;ZWEITER VEXILLAR;1
ZWEITER;ZWEITER CHERUSKER;1
STIMME AUS DEM WALDE;VERO;1
STIMME AUS DEM WALDE;ZWEITER;1
THUSNELDA;ZWEITER;1
THUSNELDA;VARUS;2
THUSNELDA;ZWEITER VEXILLAR;1
THUSNELDA;VIELE CHERUSKER;1
THUSNELDA;VIELE DEUTSCHE;1
GROSSMAGD;THUSNELDA;1
GROSSMAGD;HAUSHOFMEISTER;1
GROSSMAGD;VARUS;1
GROSSMAGD;KNECHTE;1
HAUSHOFMEISTER;THUSNELDA;1
HAUSHOFMEISTER;VARUS;1
HAUSHOFMEISTER;KNECHTE;1
DER SCHWEINEJUNGE;THUSNELDA;1
DER SCHWEINEJUNGE;GROSSMAGD;1
DER SCHWEINEJUNGE;HAUSHOFMEISTER;1
DER SCHWEINEJUNGE;EIN PFÖRTNER;1
DER SCHWEINEJUNGE;VARUS;1
DER SCHWEINEJUNGE;KNECHTE;1
DER SCHWEINEJUNGE;EINER;1
DAS GESINDE;THUSNELDA;1
DAS GESINDE;GROSSMAGD;1
DAS GESINDE;HAUSHOFMEISTER;1
DAS GESINDE;DER SCHWEINEJUNGE;1
DAS GESINDE;EIN PFÖRTNER;1
DAS GESINDE;DER PFÖRTNER;1
DAS GESINDE;VARUS;1
DAS GESINDE;KNECHTE;1
DAS GESINDE;EINER;1
EIN PFÖRTNER;THUSNELDA;1
EIN PFÖRTNER;GROSSMAGD;1
EIN PFÖRTNER;HAUSHOFMEISTER;1
EIN PFÖRTNER;VARUS;1
EIN PFÖRTNER;KNECHTE;1
EIN PFÖRTNER;EINER;1
DER PFÖRTNER;THUSNELDA;1
DER PFÖRTNER;GROSSMAGD;1
DER PFÖRTNER;HAUSHOFMEISTER;1
DER PFÖRTNER;DER SCHWEINEJUNGE;1
DER PFÖRTNER;EIN PFÖRTNER;1
DER PFÖRTNER;VARUS;1
DER PFÖRTNER;KNECHTE;1
DER PFÖRTNER;EINER;1
VARUS;ZWEITER;2
VARUS;ZWEITER LEGIONAR;1
VARUS;ZWEITER VEXILLAR;1
VARUS;VIELE CHERUSKER;1
VARUS;VIELE DEUTSCHE;1
VARUS;ZWEITER CHERUSKER;1
VARUS;WIGAND;1
VARUS;VIELE IM VOLK;1
KNECHTE;THUSNELDA;1
KNECHTE;VARUS;2
KNECHTE;SEGEST;1
EINER;ERSTER;1
EINER;ZWEITER;1
EINER;THUSNELDA;2
EINER;GROSSMAGD;1
EINER;HAUSHOFMEISTER;1
EINER;VARUS;3
EINER;KNECHTE;2
EINER;HERMANN;2
EINER;SEGEST;1
EINER;FELDARZT;1
EINER;ZWEITER VEXILLAR;1
EINER;ERSTER VEXILLAR;1
EINER;VIELE CHERUSKER;1
EINER;INGOMAR;2
EINER;INGOMARS TRABANTEN;1
EINER;EINER DER TRABANTEN;1
EINER;ERSTER BRUKTERER;1
EINER;FRITZE;1
EINER;EINIGE IN SEINEM HEER;1
EINER;STIMMEN;1
EINER;GRÜTTEMEIER;1
EINER;VIELE DEUTSCHE;1
EINER;EINER SEINES GEFOLGS;1
PRÄTOR;SCHREIBER;1
PRÄTOR;VOLK;1
PRÄTOR;RAMMSHAGEL;1
SCHREIBER;ZWEITER;1
SCHREIBER;VARUS;2
SCHREIBER;VOLK;1
SCHREIBER;ZWEITER CHERUSKER;1
DIE KLOPP;EIN SOLDAT;1
DIE KLOPP;VARUS;1
DIE KLOPP;PRÄTOR;1
DIE KLOPP;SCHREIBER;1
DIE KLOPP;KATERMEIER;1
DIE KLOPP;VOLK;1
DIE KLOPP;DIETRICH;1
DIE KLOPP;RAMMSHAGEL;1
DIE KLOPP;HERMANN;2
DIE KLOPP;EIN ALTER CHERUSKER;1
DIE KLOPP;EIN QUÄSTOR;1
DIE KLOPP;INGOMAR;1
DIE KLOPP;EIN LEGAT;1
DIE KLOPP;DIETRICH UND RAMMSHAGEL;1
DIE KLOPP;ERNESTE KLOPP;1
DIE KLOPP;VIELE IM VOLK;1
DIE KLOPP;EIN HERZOG;1
DIE KLOPP;MANCHE DER ÜBRIGEN GROSSEN;1
DIE KLOPP;EIN BOTE;1
KATERMEIER;PRÄTOR;1
KATERMEIER;SCHREIBER;1
KATERMEIER;VOLK;1
KATERMEIER;RAMMSHAGEL;1
DIETRICH;PRÄTOR;1
DIETRICH;SCHREIBER;1
DIETRICH;KATERMEIER;1
DIETRICH;VOLK;1
DIETRICH;RAMMSHAGEL;1
DIETRICH;HERMANN;1
DIETRICH;EIN ALTER CHERUSKER;1
RAMMSHAGEL;SCHREIBER;1
RAMMSHAGEL;VOLK;1
AMELUNG;PRÄTOR;1
AMELUNG;SCHREIBER;1
AMELUNG;DIE KLOPP;1
AMELUNG;KATERMEIER;1
AMELUNG;VOLK;1
AMELUNG;DIETRICH;1
AMELUNG;RAMMSHAGEL;1
AMELUNG;DAS VOLK;1
AMELUNG;HERMANN;1
AMELUNG;EIN ALTER CHERUSKER;1
AMELUNG;DER SCHREIBER;1
DAS VOLK;EIN SOLDAT;1
DAS VOLK;VARUS;1
DAS VOLK;PRÄTOR;1
DAS VOLK;SCHREIBER;1
DAS VOLK;DIE KLOPP;2
DAS VOLK;KATERMEIER;1
DAS VOLK;VOLK;1
DAS VOLK;DIETRICH;1
DAS VOLK;RAMMSHAGEL;1
DAS VOLK;HERMANN;2
DAS VOLK;EIN ALTER CHERUSKER;1
DAS VOLK;DER SCHREIBER;2
DAS VOLK;EIN QUÄSTOR;1
DAS VOLK;INGOMAR;1
DAS VOLK;EIN LEGAT;1
DAS VOLK;DEUTSCHE;1
DAS VOLK;DER KRIEGSTRIBUN;1
DAS VOLK;DIETRICH UND RAMMSHAGEL;1
DAS VOLK;ERNESTE KLOPP;1
DAS VOLK;VIELE IM VOLK;1
DAS VOLK;EIN HERZOG;1
DAS VOLK;MANCHE DER ÜBRIGEN GROSSEN;1
DAS VOLK;DER REST DER GROSSEN;1
DAS VOLK;EIN BOTE;1
HERMANN;ZWEITER;3
HERMANN;THUSNELDA;2
HERMANN;VARUS;8
HERMANN;KNECHTE;1
HERMANN;PRÄTOR;1
HERMANN;SCHREIBER;2
HERMANN;KATERMEIER;1
HERMANN;VOLK;1
HERMANN;RAMMSHAGEL;1
HERMANN;THUMELICO;1
HERMANN;LEGIONAR;1
HERMANN;ZWEITER LEGIONAR;1
HERMANN;QUÄSTOR;1
HERMANN;RÖMISCHE SOLDATEN;1
HERMANN;SEGEST;1
HERMANN;ZWEITER VEXILLAR;1
HERMANN;VIELE CHERUSKER;1
HERMANN;INGOMAR;4
HERMANN;INGOMARS TRABANTEN;1
HERMANN;STIMMEN;1
HERMANN;VIELE DEUTSCHE;1
HERMANN;VIELE;1
HERMANN;ZWEITER CHERUSKER;1
HERMANN;WIGAND;1
HERMANN;VIELE IM VOLK;1
HERMANN;MANCHE DER ÜBRIGEN GROSSEN;1
EIN ALTER CHERUSKER;ERSTER;1
EIN ALTER CHERUSKER;ZWEITER;1
EIN ALTER CHERUSKER;THUSNELDA;1
EIN ALTER CHERUSKER;VARUS;1
EIN ALTER CHERUSKER;EINER;1
EIN ALTER CHERUSKER;PRÄTOR;1
EIN ALTER CHERUSKER;SCHREIBER;1
EIN ALTER CHERUSKER;KATERMEIER;1
EIN ALTER CHERUSKER;VOLK;1
EIN ALTER CHERUSKER;RAMMSHAGEL;1
EIN ALTER CHERUSKER;HERMANN;2
EIN ALTER CHERUSKER;FELDARZT;1
EIN ALTER CHERUSKER;EIN VEXILLAR;1
EIN ALTER CHERUSKER;ZWEITER VEXILLAR;1
EIN ALTER CHERUSKER;ERSTER VEXILLAR;1
EIN ALTER CHERUSKER;VIELE CHERUSKER;1
EIN ALTER CHERUSKER;INGOMAR;1
EIN ALTER CHERUSKER;EIN GRAUER KNECHT;1
EIN ALTER CHERUSKER;EIN CHERUSKISCHER REITER;1
EIN ALTER CHERUSKER;EIN RÜCKKEHRENDER CHERUSKER;1
EIN ALTER CHERUSKER;INGOMARS TRABANTEN;1
EIN ALTER CHERUSKER;EINER DER TRABANTEN;1
EIN ALTER CHERUSKER;ERSTER BRUKTERER;1
EIN ALTER CHERUSKER;EIN CHERUSKER;1
EIN ALTER CHERUSKER;FRITZE;1
EIN ALTER CHERUSKER;EINIGE IN SEINEM HEER;1
EIN ALTER CHERUSKER;STIMMEN;1
EIN ALTER CHERUSKER;GRÜTTEMEIER;1
EIN ALTER CHERUSKER;VIELE DEUTSCHE;1
EIN ALTER CHERUSKER;EINER SEINES GEFOLGS;1
DER SCHREIBER;EIN SOLDAT;1
DER SCHREIBER;EIN VETERAN;1
DER SCHREIBER;ERSTER;1
DER SCHREIBER;ZWEITER;1
DER SCHREIBER;VARUS;3
DER SCHREIBER;PRÄTOR;1
DER SCHREIBER;SCHREIBER;3
DER SCHREIBER;DIE KLOPP;2
DER SCHREIBER;KATERMEIER;1
DER SCHREIBER;VOLK;1
DER SCHREIBER;DIETRICH;1
DER SCHREIBER;RAMMSHAGEL;1
DER SCHREIBER;HERMANN;3
DER SCHREIBER;EIN ALTER CHERUSKER;1
