Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1731-Gottsched_Johann_Christoph-Der_sterbende_Cato-speakers;11;9;5.64;0.56;1.45
1734-Neuber_Friederike_Caroline-Ein_Deutsches_Vorspiel-speakers;14;13;7.14;0.55;1.45
1736-Gottsched_Luise_Adelgunde_Victorie-Die_Pietisterey_im_Fischbein-Rocke-speakers;16;15;6.63;0.44;1.56
1736-Neuber_Friederike_Caroline-Die_von_der_Weisheit_wider_die_Unwissenheit_beschützte_Schauspielkunst-speakers;10;7;3.2;0.36;1.78
1737-Neuber_Friederike_Caroline-Die_Verehrung_der_Vollkommenheit_durch_die_gebesserten_deutschen_Schauspiele-speakers;7;6;4.29;0.71;1.29
1741-Gottsched_Johann_Christoph-Atalanta_oder_die_bezwungene_Sprödigkeit-speakers;9;8;7.11;0.89;1.11
1742-Borkenstein_Hinrich-Der_Bookesbeutel-speakers;8;7;7.0;1.0;1.0
1743-Krüger_Johann_Christian-Die_Geistlichen_auf_dem_Lande-speakers;9;8;6.67;0.83;1.17
1743-Schlegel_Johann_Elias-Der_geschäftige_Müßiggänger-speakers;15;14;5.87;0.42;1.58
1745-Gellert_Christian_Fürchtegott-Die_Betschwester-speakers;5;4;4.0;1.0;1.0
1745-Gottsched_Luise_Adelgunde_Victorie-Das_Testament-speakers;11;9;7.09;0.71;1.31
1745-Gottsched_Luise_Adelgunde_Victorie-Der_Witzling-speakers;7;6;4.0;0.67;1.33
1745-Quistorp_Theodor_Johann-Der_Hypochondrist-speakers;9;8;5.78;0.72;1.28
1746-Schlegel_Johann_Elias-Canut-speakers;7;6;3.71;0.62;1.38
1747-Gellert_Christian_Fürchtegott-Die_zärtlichen_Schwestern-speakers;8;7;6.0;0.86;1.14
1747-Krüger_Johann_Christian-Die_Candidaten_oder_Die_Mittel_zu_einem_Amte_zu_gelangen-speakers;10;9;6.2;0.69;1.31
1747-Lessing_Gotthold_Ephraim-Damon_oder_die_wahre_Freundschaft-speakers;5;4;3.6;0.9;1.1
1747-Schlegel_Johann_Elias-Die_stumme_Schönheit-speakers;8;7;5.25;0.75;1.25
1748-Lessing_Gotthold_Ephraim-Der_junge_Gelehrte-speakers;6;5;5.0;1.0;1.0
1748-Schlegel_Johann_Elias-Der_Triumph_der_guten_Frauen-speakers;7;6;4.29;0.71;1.29
1749-Lessing_Gotthold_Ephraim-Die_Juden-speakers;7;5;4.0;0.67;1.43
1749-Lessing_Gotthold_Ephraim-Die_alte_Jungfer-speakers;11;10;6.91;0.69;1.31
1749-Mylius_Christlob-Die_Schäferinsel-speakers;8;7;6.5;0.93;1.07
1754-Neuber_Friederike_Caroline-Das_Schäferfest_oder_Die_Herbstfreude-speakers;17;11;8.94;0.56;1.0
1755-Lessing_Gotthold_Ephraim-Der_Freigeist-speakers;11;9;5.27;0.53;1.51
1755-Lessing_Gotthold_Ephraim-Der_Misogyn-speakers;7;6;5.43;0.9;1.1
1755-Lessing_Gotthold_Ephraim-Der_Schatz-speakers;8;6;3.5;0.5;1.57
1755-Lessing_Gotthold_Ephraim-Miß_Sara_Sampson-speakers;11;7;4.36;0.44;1.75
1756-Pfeil_Johann_Gottlob_Benjamin-Lucie_Woodvil-speakers;8;7;5.25;0.75;1.25
1757-Klopstock_Friedrich_Gottlieb-Der_Tod_Adams-speakers;11;10;7.27;0.73;1.27
