Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1796_Tieck,_Ludwig_-_Ritter_Blaubart;22;19;10.64;0.51;1.5
1796_Weidmann,_Paul_-_Der_Dorfbarbier;18;17;9.0;0.53;1.47
1797_Goethe,_Johann_Wolfgang_von_-_Dramen;108;68;23.7;0.22;1.64
1797_Gotter,_Friedrich_Wilhelm_-_Die_Geisterinsel;30;21;9.6;0.33;1.78
1797_Soden,_Julius_von_-_Doktor_Faust;54;50;7.52;0.14;1.93
1797_Tieck,_Ludwig_-_Der_gestiefelte_Kater;53;45;17.36;0.33;1.77
1797_Tieck,_Ludwig_-_Prinz_Zerbino_oder_die_Reise_nach_dem_guten_Geschmack;149;81;17.7;0.12;2.28
1798_Schiller,_Friedrich_-_Dramen;39;26;9.08;0.24;1.99
1799_Goethe,_Johann_Wolfgang_-_Die_natürliche_Tochter;11;8;3.27;0.33;1.76
1799_Hensler,_Karl_Friedrich_-_Die_Teufelsmühle_am_Wienerberg;40;28;8.9;0.23;1.92
1799_Kotzebue,_August_von_-_Der_Hyperboreische_Esel,_oder_Die_heutige_Bildung;7;6;4.86;0.81;1.19
1799_Schiller,_Friedrich_-_Maria_Stuart;23;14;5.91;0.27;2.2
1799_Tieck,_Ludwig_-_Leben_und_Tod_der_heiligen_Genoveva;59;58;58.0;1.0;1.0
1800_Goethe,_Johann_Wolfgang_-_Faust._Der_Tragödie_zweiter_Teil;216;96;23.14;0.11;2.22
1800_Schiller,_Friedrich_-_Die_Jungfrau_von_Orleans;48;31;7.08;0.15;2.32
1800_Tieck,_Ludwig_-_Die_verkehrte_Welt;82;64;22.98;0.28;1.73
1801_Benkowitz,_Karl_Friedrich_-_Die_Jubelfeier_der_Hölle,_oder_Faust_der_jüngere;30;17;6.8;0.23;2.19
1801_Brentano,_Clemens_-_Ponce_de_Leon;38;29;8.84;0.24;1.8
1801_Kotzebue,_August_von_-_Die_beiden_Klingsberg;14;11;5.29;0.41;1.67
1801_Schlegel,_Friedrich_-_Alarkos;11;9;6.18;0.62;1.44
1802_Iffland,_August_Wilhelm_-_Das_Erbtheil_des_Vaters;21;19;11.62;0.58;1.43
1802_Kleist,_Heinrich_von_-_Die_Familie_Schroffenstein;27;23;12.81;0.49;1.52
1802_Kleist,_Heinrich_von_-_Robert_Guiskard_[Fragment];27;26;10.3;0.4;1.6
1802_Schiller,_Friedrich_-_Die_Braut_von_Messina_oder_die_feindlichen_Brüder;18;17;17.0;1.0;1.0
1802_Schiller,_Friedrich_-_Wilhelm_Tell;79;61;18.41;0.24;1.81
1802_Schlegel,_August_Wilhelm_-_Jon;6;5;4.0;0.8;1.2
1803_Kleist,_Heinrich_von_-_Der_zerbrochene_Krug;16;14;7.75;0.52;1.48
1803_Kotzebue,_August_von_-_Die_deutschen_Kleinstädter;20;19;9.5;0.5;1.5
1805_Günderode,_Karoline_von_-_Magie_und_Schicksal;9;8;7.78;0.97;1.03
1805_Günderode,_Karoline_von_-_Nikator;7;6;5.43;0.9;1.1
1805_Günderode,_Karoline_von_-_Udohla;7;6;6.0;1.0;1.0
1805_Sonnleithner,_Joseph_Ferdinand_von_-_Fidelio;21;15;8.1;0.4;1.72
1806_Kleist,_Heinrich_von_-_Amphitryon;18;17;12.56;0.74;1.26
1806_Kleist,_Heinrich_von_-_Penthesilea;85;55;17.72;0.21;1.99
1807_Kleist,_Heinrich_von_-_Das_Käthchen_von_Heilbronn_oder_die_Feuerprobe;64;47;10.0;0.16;2.09
1808_Baggesen,_Jens_-_Der_vollendete_Faust_oder_Romanien_in_Jauer;214;99;20.28;0.1;2.48
1808_Fouqué,_Friedrich_de_la_Motte_-_Der_Held_des_Nordens;114;58;21.51;0.19;2.14
1808_Kleist,_Heinrich_von_-_Die_Hermannsschlacht;81;46;10.54;0.13;2.36
1809_Arnim,_Ludwig_Achim_von_-_Dramen;92;66;18.48;0.2;1.84
1809_Kleist,_Heinrich_von_-_Prinz_Friedrich_von_Homburg;52;37;11.38;0.22;1.84
1809_Werner,_Zacharias_-_Der_vierundzwanzigste_Februar;3;2;2.0;1.0;1.0
1810_Goethe,_Johann_Wolfgang_-_Pandora;12;11;11.0;1.0;1.0
1810_Grillparzer,_Franz_-_Faust;2;1;1.0;1.0;1.0
1811_Arnim,_Ludwig_Achim_von_-_Das_Loch;26;19;7.31;0.29;1.91
1811_Weißenthurn,_Johanna_von_-_Johann,_Herzog_von_Finnland;33;23;7.7;0.24;2.01
1812_Brentano,_Clemens_-_Die_Gründung_Prags;112;111;68.86;0.62;1.38
1812_Körner,_Theodor_-_Zriny;27;17;6.89;0.26;2.17
1813_Bäuerle,_Adolf_-_Die_Bürger_in_Wien;22;21;10.36;0.49;1.51
1813_Meisl,_Karl_-_Orpheus_und_Euridice;24;20;9.17;0.4;1.7
1813_Müllner,_Adolph_-_Die_Schuld;9;8;4.22;0.53;1.47
1813_Weißenthurn,_Johanna_von_-_Welche_ist_die_Braut!;30;28;18.87;0.65;1.35
1815_Goethe,_Johann_Wolfgang_-_Des_Epimenides_Erwachen;29;15;5.86;0.21;2.39
1815_Klingemann,_August_-_Faust._Ein_Trauerspiel_in_fünf_Acten;29;26;5.52;0.2;1.87
1816_Bernard,_Josef_Karl_-_Faust;33;26;9.33;0.29;1.81
1816_Byron,_George_Gordon_Lord_-_Manfred;32;26;11.25;0.36;1.79
1816_Grillparzer,_Franz_-_Die_Ahnfrau;15;14;8.53;0.61;1.39
1817_Grillparzer,_Franz_-_Der_Traum_ein_Leben;28;27;13.57;0.5;1.5
1817_Grillparzer,_Franz_-_Sappho;13;11;5.85;0.49;1.53
1817_Müllner,_Adolph_-_König_Yngurd;41;27;11.46;0.29;1.86
1817_Uhland,_Ludwig_-_Ludwig_der_Bayer;56;43;12.57;0.23;1.92
1818_Grabbe,_Christian_Dietrich_-_Herzog_Theodor_von_Gothland;66;65;23.79;0.37;1.63
1818_Grillparzer,_Franz_-_Das_goldene_Vlies;38;37;12.79;0.35;1.65
1818_Meisl,_Karl_-_Der_lustige_Fritz;34;32;8.41;0.25;1.77
1818_Shelley,_Percy_Bysshe_-_Der_entfesselte_Prometheus;64;56;24.12;0.38;1.64
1818_Uhland,_Ludwig_-_Ernst_Herzog_von_Schwaben;26;24;16.69;0.67;1.33
1819_Bäuerle,_Adolf_-_Doktor_Faust's_Mantel;38;28;7.84;0.21;1.98
1819_Kotzebue,_August_von_-_Der_Wildschütz_oder_Die_Stimme_der_Natur;37;26;11.03;0.31;1.75
1820_Malß,_Karl_-_Der_alte_Bürger-Capitain;18;17;8.78;0.52;1.48
1821_Gleich,_Joseph_Alois_-_Der_Eheteufel_auf_Reisen;51;26;6.82;0.14;2.1
1821_Heine,_Heinrich_-_Almansor;43;37;19.49;0.46;1.59
1821_Kind,_Johann_Friedrich_-_Der_Freischütz;38;34;14.42;0.39;1.66
1821_Weißenthurn,_Johanna_von_-_Die_Schwestern_St._Janvier;32;23;10.44;0.34;1.78
1821_Weißenthurn,_Johanna_von_-_Welcher_ist_der_Bräutigam;19;17;10.0;0.56;1.44
1822_Grabbe,_Christian_Dietrich_-_Scherz,_Satire,_Ironie_und_tiefere_Bedeutung;42;38;16.33;0.4;1.62
1823_Beer,_Michael_-_Der_Paria;11;10;4.91;0.49;1.51
1823_Chézy,_Helmina_von_-_Euryanthe;21;19;8.86;0.44;1.56
1823_Grillparzer,_Franz_-_König_Ottokars_Glück_und_Ende;70;69;33.91;0.49;1.51
1823_Heine,_Heinrich_-_William_Ratcliff;16;15;9.75;0.65;1.35
1823_Raimund,_Ferdinand_-_Der_Barometermacher_auf_der_Zauberinsel;34;24;5.41;0.16;2.19
1823_Voß,_Julius_von_-_Faust._Trauerspiel_mit_Gesang_und_Tanz;84;42;6.6;0.08;2.57
1824_Raimund,_Ferdinand_-_Der_Diamant_des_Geisterkönigs;40;23;8.25;0.21;2.08
1825_Grillparzer,_Franz_-_Ein_Bruderzwist_in_Habsburg;68;60;30.24;0.45;1.55
1825_Grillparzer,_Franz_-_Libussa;54;53;35.26;0.67;1.33
1825_Holtei,_Karl_von_-_Die_Kalkbrenner;12;11;7.5;0.68;1.32
1825_Raupach,_Ernst_-_Kritik_und_Antikritik;18;14;6.0;0.35;1.78
1826_Arnim,_Ludwig_Achim_von_-_Marino_Caboga;19;16;12.32;0.68;1.15
1826_Grillparzer,_Franz_-_Des_Meeres_und_der_Liebe_Wellen;15;14;11.87;0.85;1.15
1826_Grillparzer,_Franz_-_Ein_treuer_Diener_seines_Herrn;36;35;18.0;0.51;1.49
1826_Immermann,_Karl_-_Andreas_Hofer,_der_Sandwirt_von_Passeyer;57;32;6.88;0.12;2.33
1826_Platen,_August_von_-_Die_verhängnisvolle_Gabel;9;8;6.22;0.78;1.22
1826_Raimund,_Ferdinand_-_Das_Mädchen_aus_der_Feenwelt_oder_Der_Bauer_als_Millionär;42;26;8.62;0.21;2.06
1826_Raimund,_Ferdinand_-_Die_gefesselte_Phantasie;27;25;14.07;0.54;1.47
1827_Beer,_Michael_-_Struensee;53;29;9.55;0.18;2.34
1827_Platen,_August_von_-_Der_romantische_Ödipus;22;16;9.64;0.46;1.27
1827_Raimund,_Ferdinand_-_Moisasurs_Zauberfluch;33;19;6.18;0.19;2.32
1828_Gehe,_Eduard_Heinrich_-_Jessonda;32;31;22.12;0.71;1.29
1828_Raimund,_Ferdinand_-_Der_Alpenkönig_und_der_Menschenfeind;39;27;10.72;0.28;2.01
1828_Wohlbrück,_Wilhelm_August_-_Der_Vampyr;50;28;9.6;0.2;2.14
1829_Birch-Pfeiffer,_Charlotte_-_Pfeffer-Rösel;46;34;17.04;0.38;1.77
1829_Grabbe,_Christian_Dietrich_-_Don_Juan_und_Faust;27;24;14.96;0.58;1.45
1829_Grabbe,_Christian_Dietrich_-_Kaiser_Friedrich_Barbarossa;113;92;26.34;0.24;1.91
1829_Grabbe,_Christian_Dietrich_-_Napoleon_oder_Die_hundert_Tage;274;108;26.11;0.1;2.58
1829_Raimund,_Ferdinand_-_Die_unheilbringende_Zauberkrone;57;36;8.56;0.15;2.37
1829_Raupach,_Ernst_-_Agnes_von_Hohenstaufen;82;67;18.59;0.23;1.81
1830_Birch-Pfeiffer,_Charlotte_-_Die_Walpurgisnacht;29;19;5.86;0.21;2.03
1830_Eichendorff,_Joseph_von_-_Der_letzte_Held_von_Marienburg;71;53;18.28;0.26;1.84
1830_Grabbe,_Christian_Dietrich_-_Kaiser_Heinrich_der_Sechste;103;44;14.49;0.14;2.38
1831_Immermann,_Karl_-_Merlin;34;29;20.47;0.62;1.43
1831_Schäfer,_Wilhelm_-_Faustine,_der_weibliche_Faust;39;17;4.51;0.12;2.03
1831_Wolfram,_Hermann_Ludwig_-_Faust;60;50;13.9;0.24;1.68
1832_Holtei,_Karl_von_-_Ein_Trauerspiel_in_Berlin;21;17;9.33;0.47;1.57
1832_Immermann,_Karl_-_Dramen;15;14;8.93;0.64;1.36
1833_Devrient,_Philipp_Eduard_-_Hans_Heiling;29;22;8.07;0.29;1.87
1833_Eichendorff,_Joseph_von_-_Die_Freier;13;11;9.38;0.78;1.23
1833_Nestroy,_Johann_-_Der_böse_Geist_Lumpazivagabundus;53;41;9.02;0.17;2.02
1834_Birch-Pfeiffer,_Charlotte_-_Johannes_Gutenberg;15;11;5.47;0.39;1.68
1834_Braun_von_Braunthal,_Karl_Johann_-_Das_Nachtlager_von_Granada;21;19;9.71;0.49;1.58
1834_Büchner,_Georg_-_Dantons_Tod;80;79;36.7;0.46;1.54
1834_Grabbe,_Christian_Dietrich_-_Hannibal;130;129;47.51;0.37;1.63
1834_Grillparzer,_Franz_-_Weh_dem,_der_lügt!;22;21;13.0;0.62;1.38
1834_Raimund,_Ferdinand_-_Der_Verschwender;53;40;9.96;0.19;2.02
1834_Weißenthurn,_Johanna_von_-_Das_Manuscript;17;10;5.06;0.32;1.88
1835_Bauernfeld,_Eduard_von_-_Bürgerlich_und_Romantisch;15;12;6.27;0.45;1.62
1835_Braun_von_Braunthal,_Karl_Johann_-_Faust;54;32;10.85;0.2;2.18
1835_Grabbe,_Christian_Dietrich_-_Die_Hermannsschlacht;118;97;23.85;0.2;1.83
1835_Malß,_Karl_-_Jungfern_Köchinnen;14;12;7.86;0.6;1.45
1835_Nestroy,_Johann_-_Eulenspiegel;24;19;8.42;0.37;1.69
1835_Nestroy,_Johann_-_Zu_ebener_Erde_und_erster_Stock;90;50;11.31;0.13;2.08
1836_Büchner,_Georg_-_Leonce_und_Lena;25;20;10.64;0.44;1.45
1836_Büchner,_Georg_-_Woyzeck;34;14;3.18;0.1;2.68
1836_Devrient,_Philipp_Eduard_-_Die_Gunst_des_Augenblicks;12;11;6.5;0.59;1.41
1837_Lortzing,_Albert_(Gustav)_-_Zar_und_Zimmermann;36;31;13.17;0.38;1.64
1837_Nestroy,_Johann_-_Das_Haus_der_Temperamente;43;33;18.09;0.43;1.67
1839_Grillparzer,_Franz_-_Die_Jüdin_von_Toledo;16;15;10.0;0.67;1.33
1839_Gutzkow,_Karl_-_Richard_Savage,_Sohn_einer_Mutter;34;22;8.29;0.25;2.05
1840_Droste-Hülshoff,_Annette_von_-_Perdu!_oder_Dichter,_Verleger_und_Blaustrümpfe;14;10;6.0;0.46;1.68
1840_Eichendorff,_Joseph_von_-_Das_Incognito;61;49;21.51;0.36;1.78
1840_Hebbel,_Friedrich_-_Judith;67;62;31.04;0.47;1.53
1840_Nestroy,_Johann_-_Der_Talisman;27;20;8.59;0.33;1.73
1841_Bauernfeld,_Eduard_von_-_Industrie_und_Herz;12;9;4.17;0.38;1.77
1841_Hebbel,_Friedrich_-_Der_Diamant;27;12;5.93;0.23;1.24
1841_Laube,_Heinrich_-_Monaldeschi;20;16;7.3;0.38;1.66
1841_Nestroy,_Johann_-_Das_Mädl_aus_der_Vorstadt;31;27;10.52;0.35;1.7
1841_Niebergall,_Ernst_Elias_-_Datterich;23;21;7.22;0.33;1.72
1842_Halm,_Friedrich_-_Der_Sohn_der_Wildnis;21;20;11.62;0.58;1.42
1842_Nestroy,_Johann_-_Einen_Jux_will_er_sich_machen;26;22;9.62;0.38;1.65
1843_Bauernfeld,_Eduard_von_-_Großjährig;7;6;4.86;0.81;1.19
1843_Gutzkow,_Karl_-_Zopf_und_Schwert;30;19;8.27;0.29;1.9
1843_Hebbel,_Friedrich_-_Genoveva;20;18;7.8;0.41;1.59
1843_Hölderlin,_Friedrich_-_Der_Tod_des_Empedokles;21;16;6.67;0.33;1.76
1843_Wagner,_Richard_-_Der_fliegende_Holländer;15;14;10.13;0.72;1.28
1844_Glaßbrenner,_Adolf_-_Die_jüngste_Walpurgisnacht;63;62;62.0;1.0;1.0
1844_Hebbel,_Friedrich_-_Maria_Magdalene;16;14;5.75;0.38;1.63
1844_Kaiser,_Friedrich_-_Stadt_und_Land;31;29;12.0;0.4;1.61
1844_Laube,_Heinrich_-_Struensee;19;16;8.32;0.46;1.56
1844_Nestroy,_Johann_-_Der_Zerrissene;23;17;8.0;0.36;1.78
1845_Laube,_Heinrich_-_Gottsched_und_Gellert;39;36;15.03;0.4;1.61
1845_Prutz,_Robert_Eduard_-_Die_politische_Wochenstube;28;27;17.93;0.66;1.34
1845_Wagner,_Richard_-_Tannhäuser_und_Der_Sängerkrieg_auf_Wartburg;30;29;13.0;0.45;1.55
1846_Gutzkow,_Karl_-_Das_Urbild_des_Tartüffe;25;18;9.2;0.38;1.67
1846_Gutzkow,_Karl_-_Uriel_Acosta;17;15;6.24;0.39;1.65
1846_Hebbel,_Friedrich_-_Trauerspiel_in_Sizilien;10;9;6.2;0.69;1.31
1846_Laube,_Heinrich_-_Die_Karlsschüler;27;24;14.37;0.55;1.46
1846_Lortzing,_Albert_(Gustav)_-_Der_Waffenschmied;28;27;14.43;0.53;1.47
1846_Nestroy,_Johann_-_Der_Unbedeutende;44;36;16.5;0.38;1.78
1846_Simrock,_Karl_-_Doctor_Johannes_Faust;47;40;13.19;0.29;1.82
1847_Freytag,_Gustav_-_Graf_Waldemar;21;20;10.67;0.53;1.47
1847_Kaiser,_Friedrich_-_Die_Schule_des_Armen;44;39;10.68;0.25;1.79
1847_Kobell,_Franz_von_-_Der_Roaga;6;5;5.0;1.0;1.0
1847_Riese,_Friedrich_Wilhelm_-_Martha_oder_Der_Markt_zu_Richmond;49;33;13.1;0.27;1.89
1848_Dulk,_Albert_-_Die_Wände;8;7;4.5;0.64;1.36
1848_Nestroy,_Johann_-_Freiheit_in_Krähwinkel;34;22;10.76;0.33;1.78
1848_Wagner,_Richard_-_Götterdämmerung;43;31;11.02;0.26;1.94
1849_Benedix,_Julius_Roderich_-_Die_Hochzeitsreise;6;5;3.33;0.67;1.33
1849_Birch-Pfeiffer,_Charlotte_-_Vatersorgen;16;15;7.5;0.5;1.5
1849_Hebbel,_Friedrich_-_Der_Rubin;17;14;8.0;0.5;1.55
1849_Hebbel,_Friedrich_-_Herodes_und_Mariamne;27;20;9.41;0.36;1.83
1849_Ludwig,_Otto_-_Der_Erbförster;18;13;7.0;0.41;1.71
1849_Mosenthal,_Salomon_Hermann_von_-_Die_lustigen_Weiber_von_Windsor;47;36;11.23;0.24;1.87
1849_Nestroy,_Johann_-_Judith_und_Holofernes;31;17;7.16;0.24;1.52
1850_Reinick,_Robert_-_Genoveva;27;26;15.41;0.59;1.41
1850_Wagner,_Richard_-_Lohengrin;36;29;15.0;0.43;1.62
1851_Ludwig,_Otto_-_Die_Makkabäer;47;46;31.06;0.68;1.32
1851_Wagner,_Richard_-_Das_Rheingold;23;22;11.65;0.53;1.47
1851_Wagner,_Richard_-_Die_Walküre;31;30;21.03;0.7;1.3
1851_Wagner,_Richard_-_Siegfried;12;8;4.67;0.42;1.62
1852_Freytag,_Gustav_-_Die_Journalisten;25;24;17.52;0.73;1.27
1852_Hebbel,_Friedrich_-_Agnes_Bernauer;45;31;9.16;0.21;1.89
1854_Schober,_Franz_von_-_Alfonso_und_Estrella;40;32;12.1;0.31;1.67
1854_Wagner,_Richard_-_Tristan_und_Isolde;16;15;8.5;0.57;1.43
1855_Brachvogel,_Albert_Emil_-_Narziß;56;41;11.89;0.22;1.95
1856_Hebbel,_Friedrich_-_Gyges_und_sein_Ring;9;8;7.78;0.97;1.03
1857_Lassalle,_Ferdinand_-_Franz_von_Sickingen;72;38;8.69;0.12;2.52
1858_Berg,_O._F._-_Berlin,_wie_es_weint_und_lacht;50;26;7.76;0.16;2.08
1858_Cornelius,_Peter_-_Der_Barbier_von_Bagdad;34;26;8.71;0.26;1.8
1858_Hebbel,_Friedrich_-_Demetrius;31;20;7.81;0.26;1.93
1859_Madách,_Imre_-_Die_Tragödie_des_Menschen;116;112;25.48;0.22;1.78
1861_Hebbel,_Friedrich_-_Dramen;25;22;11.84;0.49;1.55
1861_Scribe,_Eugène_-_Übersetzung:_Die_weiße_Dame;51;44;12.08;0.24;1.83
1862_Benedix,_Julius_Roderich_-_Die_Lügnerin;8;7;5.75;0.82;1.18
1862_Moser,_Gustav_von_-_Das_Stiftungsfest;21;17;9.33;0.47;1.57
1862_Vischer,_Friedrich_Theodor_-_Faust_III;95;75;13.96;0.15;1.97
1863_Birch-Pfeiffer,_Charlotte_-_In_der_Heimath;27;21;10.37;0.4;1.65
1865_Heyse,_Paul_-_Colberg;32;22;10.12;0.33;1.79
1866_Ibsen,_Henrik_-_Brand._Ein_dramatisches_Gedicht;59;58;35.22;0.61;1.39
1866_Kupelwieser,_Josef_-_Fierrabras;41;28;8.15;0.2;2.01
1867_Ibsen,_Henrik_-_Peer_Gynt;129;128;40.64;0.32;1.68
1867_Roeber,_Friedrich_-_König_Manfred;34;22;5.29;0.16;2.11
1868_Wagner,_Richard_-_Die_Meistersinger_von_Nürnberg;54;52;25.59;0.48;1.52
1869_Anzengruber,_Ludwig_-_Der_Pfarrer_von_Kirchfeld;25;21;9.12;0.38;1.76
1871_Anzengruber,_Ludwig_-_Der_Meineidbauer;27;18;6.81;0.26;1.95
1872_Anzengruber,_Ludwig_-_Die_Kreuzelschreiber;29;26;13.72;0.49;1.6
1872_Heyse,_Paul_-_Don_Juan's_Ende;20;17;8.1;0.43;1.61
1872_Wilbrandt,_Adolf_von_-_Gracchus_der_Volkstribun;27;25;14.3;0.55;1.46
1874_Anzengruber,_Ludwig_-_Der_Gwissenswurm;18;11;5.67;0.33;2.07
1874_Haffner,_Carl_-_Die_Fledermaus;35;31;18.57;0.55;1.49
1874_Widmann,_Joseph_Viktor_-_Der_Widerspenstigen_Zähmung;21;16;8.0;0.4;1.65
1875_Mosenthal,_Salomon_Hermann_von_-_Das_goldene_Kreuz;25;23;10.8;0.45;1.55
1875_Mosenthal,_Salomon_Hermann_von_-_Die_Königin_von_Saba;26;21;11.54;0.46;1.56
1876_L'Arronge,_Adolph_-_Mein_Leopold;30;21;8.8;0.3;1.83
1877_Anzengruber,_Ludwig_-_Das_vierte_Gebot;36;26;8.78;0.25;1.91
1877_Wagner,_Richard_-_Parsifal;54;53;25.63;0.48;1.52
1879_Ibsen,_Henrik_-_Nora_oder_Ein_Puppenheim;12;11;9.67;0.88;1.12
1879_L'Arronge,_Adolph_-_Hasemann's_Töchter;21;17;8.0;0.4;1.69
1880_Ganghofer,_Ludwig_-_Der_Herrgottschnitzer_von_Ammergau;26;20;11.62;0.46;1.57
1881_Wildenbruch,_Ernst_von_-_Die_Karolinger;37;31;14.43;0.4;1.68
1883_Bjørnson,_Bjørnstjerne_-_Über_die_Kraft_I;22;21;15.09;0.72;1.28
1884_Anzengruber,_Ludwig_-_Heimg'funden;33;18;8.73;0.27;2.09
1884_Bunge,_Rudolf_-_Der_Trompeter_von_Säkkingen;46;45;18.57;0.41;1.59
1885_Schnitzer,_Ignaz_-_Der_Zigeunerbaron;47;42;19.11;0.42;1.71
1885_Schönthan,_Franz_und_Paul_von_-_Der_Raub_der_Sabinerinnen;24;18;8.08;0.35;1.68
1888_Alberti,_Konrad_-_Brot!;40;33;16.45;0.42;1.61
1888_Bleibtreu,_Karl_-_Weltgericht;65;64;30.89;0.48;1.52
1888_Schnitzler,_Arthur_-_Anatol;14;13;4.29;0.33;1.67
1888_Wildenbruch,_Ernst_von_-_Die_Quitzows;77;50;13.4;0.18;2.08
1889_Bleibtreu,_Karl_-_Ein_Faust_der_That;42;38;23.57;0.57;1.37
1889_Sudermann,_Hermann_-_Die_Ehre;19;14;8.21;0.46;1.65
1889_Wilbrandt,_Adolf_von_-_Der_Meister_von_Palmyra;40;33;8.8;0.23;1.95
1890_Alberti,_Konrad_-_Im_Suff;21;11;8.67;0.43;1.11
1890_Holz,_Arno_-_Die_Familie_Selicke;9;8;7.56;0.94;1.06
1890_Wedekind,_Frank_-_Frühlings_Erwachen;41;27;9.51;0.24;2.1
1890_Wildenbruch,_Ernst_von_-_Die_Haubenlerche;12;11;6.5;0.59;1.41
1891_Schnitzler,_Arthur_-_Anatols_Größenwahn;6;5;5.0;1.0;1.0
1892_Hofmannsthal,_Hugo_von_-_Der_Tod_des_Tizian;8;7;7.0;1.0;1.0
1892_Schlaf,_Johannes_-_Meister_Oelze;13;12;8.92;0.74;1.26
1892_Wedekind,_Frank_-_Erdgeist;15;12;6.13;0.44;1.64
1893_Hartleben,_Otto_Erich_-_Hanna_Jagert;25;24;12.4;0.52;1.48
1893_Hofmannsthal,_Hugo_von_-_Alkestis;36;32;29.5;0.84;1.0
1893_Hofmannsthal,_Hugo_von_-_Der_Tor_und_der_Tod;6;5;5.0;1.0;1.0
1893_Sudermann,_Hermann_-_Heimat;15;14;8.13;0.58;1.42
1893_Wette,_Adelheid_-_Hänsel_und_Gretel;16;12;5.62;0.38;1.72
1894_Ruederer,_Josef_-_Die_Fahnenweihe;65;64;34.18;0.53;1.47
1894_Schnitzler,_Arthur_-_Liebelei;12;11;8.17;0.74;1.26
1894_Wedekind,_Frank_-_Die_Büchse_der_Pandora;24;19;11.5;0.5;1.3
1895_Panizza,_Oskar_-_Das_Liebeskonzil;44;20;12.45;0.29;1.43
1896_Hartleben,_Otto_Erich_-_Die_sittliche_Forderung;4;3;3.0;1.0;1.0
1896_Holz,_Arno_-_Sozialaristokraten;18;17;12.0;0.71;1.29
1896_Schnitzler,_Arthur_-_Reigen;12;3;2.0;0.18;2.1
1896_Widmann,_Joseph_Viktor_-_Maikäfer-Komödie;64;50;23.75;0.38;1.71
1897_Hofmannsthal,_Hugo_von_-_Die_Frau_im_Fenster;5;4;4.0;1.0;1.0
1897_Rilke,_Rainer_Maria_-_Ohne_Gegenwart;4;3;3.0;1.0;1.0
1897_Wedekind,_Frank_-_Der_Kammersänger;9;7;2.67;0.33;1.78
1898_Blumenthal,_Oskar_-_Im_weißen_Rößl;41;37;22.54;0.56;1.48
1898_Hofmannsthal,_Hugo_von_-_Der_Abenteurer_und_die_Sängerin_oder_Die_Geschenke_des_Lebens;18;17;15.22;0.9;1.1
1898_Laufs,_Carl_-_Pension_Schöller;27;22;10.15;0.39;1.64
1898_Panizza,_Oskar_-_Nero;58;33;11.55;0.2;1.53
1898_Rilke,_Rainer_Maria_-_Die_weiße_Fürstin;3;2;2.0;1.0;1.0
1898_Schnitzler,_Arthur_-_Der_grüne_Kakadu;34;33;33.0;1.0;1.0
1898_Wedekind,_Frank_-_Der_Marquis_von_Keith;28;27;16.07;0.6;1.4
1899_Hartleben,_Otto_Erich_-_Rosenmontag;44;33;13.68;0.32;1.78
1899_Hauptmann,_Carl_-_Ephraims_Breite;41;31;14.44;0.36;1.72
1899_Hofmannsthal,_Hugo_von_-_Das_Bergwerk_zu_Falun;46;45;23.48;0.52;1.48
1899_Rosenow,_Emil_-_Die_im_Schatten_leben;26;25;17.46;0.7;1.3
1899_Wedekind,_Frank_-_Fritz_Schwigerling_oder_Der_Liebestrank;11;9;5.09;0.51;1.49
1900_Rosenow,_Emil_-_Kater_Lampe;49;48;25.27;0.53;1.47
1900_Schnitzler,_Arthur_-_Lebendige_Stunden;17;5;3.65;0.23;1.0
1901_Thoma,_Ludwig_-_Die_Medaille;17;16;16.0;1.0;1.0
1901_Wedekind,_Frank_-_König_Nicolo_oder_So_ist_das_Leben;45;43;11.87;0.27;1.76
1901_Čechov,_Anton_Pavlovič_-_Drei_Schwestern;16;15;14.75;0.98;1.02
1902_Thoma,_Ludwig_-_Die_Lokalbahn;26;25;9.54;0.38;1.62
1903_Hofmannsthal,_Hugo_von_-_Elektra;27;26;26.0;1.0;1.0
1903_Hofmannsthal,_Hugo_von_-_Jedermann;39;38;38.0;1.0;1.0
1903_Moser,_Gustav_von_-_Krieg_oder_Frieden;9;8;3.56;0.44;1.56
1903_Schnitzler,_Arthur_-_Der_einsame_Weg;12;10;6.67;0.61;1.39
1903_Stavenhagen,_Fritz_-_Mudder_Mews;13;12;7.54;0.63;1.37
1903_Wedekind,_Frank_-_Hidalla_oder_Sein_und_Haben;16;15;12.0;0.8;1.2
1904_Hofmannsthal,_Hugo_von_-_Ödipus_und_die_Sphinx;50;49;30.96;0.63;1.37
1904_Holz,_Arno_-_Traumulus;30;23;11.73;0.4;1.73
1904_Lautensack,_Heinrich_-_Medusa;13;12;12.0;1.0;1.0
1905_Lachmann,_Hedwig_-_Salome;20;18;11.6;0.61;1.39
1905_Wedekind,_Frank_-_Tod_und_Teufel_(Totentanz);5;4;4.0;1.0;1.0
1906_Essig,_Hermann_-_Überteufel;35;34;20.63;0.61;1.39
1906_Gerhäuser,_Emil_-_Der_Moloch;29;23;9.79;0.35;1.74
1906_Heiseler,_Henry_von_-_Peter_und_Alexéj;25;24;16.16;0.67;1.33
1906_May,_Karl_-_Babel_und_Bibel;55;52;20.36;0.38;1.63
1906_Wedekind,_Frank_-_Die_Zensur;4;3;3.0;1.0;1.0
1906_Wedekind,_Frank_-_Musik;10;9;5.0;0.56;1.44
