Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1616_Shakespeare,_William_-_Antonius_und_Cleopatra;56;38;12.04;0.22;1.97
1616_Shakespeare,_William_-_Coriolanus;69;52;13.59;0.2;1.94
1616_Shakespeare,_William_-_Cymbeline;43;28;9.86;0.23;1.96
1616_Shakespeare,_William_-_Das_Wintermärchen;40;23;10.1;0.26;2.02
1616_Shakespeare,_William_-_Der_Kaufmann_von_Venedig;24;20;10.83;0.47;1.58
1616_Shakespeare,_William_-_Der_Sturm;23;20;11.83;0.54;1.52
1616_Shakespeare,_William_-_Der_Widerspenstigen_Zähmung;36;28;13.94;0.4;1.69
1616_Shakespeare,_William_-_Die_Komödie_der_Irrungen;21;19;11.71;0.59;1.42
1616_Shakespeare,_William_-_Die_beiden_Veroneser;19;15;7.05;0.39;1.71
1616_Shakespeare,_William_-_Die_beiden_edlen_Vettern;45;30;10.98;0.25;1.98
1616_Shakespeare,_William_-_Die_lustigen_Weiber_von_Windsor;28;25;15.14;0.56;1.45
1616_Shakespeare,_William_-_Ein_Sommernachtstraum;34;32;19.29;0.58;1.42
1616_Shakespeare,_William_-_Ende_gut,_alles_gut;25;19;9.52;0.4;1.68
1616_Shakespeare,_William_-_Hamlet._Prinz_von_Dänemark;37;31;11.41;0.32;1.73
1616_Shakespeare,_William_-_Julius_Cäsar;48;43;12.42;0.26;1.82
1616_Shakespeare,_William_-_König_Heinrich_IV._Erster_Teil;34;20;8.59;0.26;2.04
1616_Shakespeare,_William_-_König_Heinrich_IV._Zweiter_Teil;52;32;9.96;0.2;2.54
1616_Shakespeare,_William_-_König_Heinrich_V.;47;32;9.49;0.21;2.15
1616_Shakespeare,_William_-_König_Heinrich_VI._Dritter_Teil;47;28;11.11;0.24;1.96
1616_Shakespeare,_William_-_König_Heinrich_VI._Erster_Teil;63;37;11.71;0.19;2.14
1616_Shakespeare,_William_-_König_Heinrich_VI._Zweiter_Teil;69;41;13.91;0.2;2.03
1616_Shakespeare,_William_-_König_Heinrich_VIII.;51;31;9.57;0.19;2.19
1616_Shakespeare,_William_-_König_Johann;28;25;11.0;0.41;1.63
1616_Shakespeare,_William_-_König_Lear;28;24;12.14;0.45;1.57
1616_Shakespeare,_William_-_König_Richard_II.;36;27;9.72;0.28;1.93
1616_Shakespeare,_William_-_König_Richard_III.;59;39;13.05;0.23;1.92
1616_Shakespeare,_William_-_Liebes_Leid_und_Lust;24;20;14.42;0.63;1.39
1616_Shakespeare,_William_-_Macbeth;41;30;9.27;0.23;1.92
1616_Shakespeare,_William_-_Maß_für_Maß;26;21;8.92;0.36;1.69
1616_Shakespeare,_William_-_Othello;28;27;12.5;0.46;1.54
1616_Shakespeare,_William_-_Perikles;47;29;6.94;0.15;2.15
