;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
HERZOGIN VON CHIMAY;0.28711509715994016;108.16666666666667;{'closeness': 188, 'degree': 126, 'betweenness': 86};11;0.0
LABÉDOYÈRE;0.44669767441860464;82.83333333333334;{'closeness': 25, 'degree': 54, 'betweenness': 163};25;0.0
EINE LINIENINFANTERIE-PATROUILLE;0.3758904109589041;100.16666666666666;{'closeness': 83, 'degree': 171, 'betweenness': 89};8;0.0
EIN OFFIZIER;0.46396135265700483;20.666666666666664;{'closeness': 8, 'degree': 14, 'betweenness': 33};34;0.009274886864876292
FRANZÖSISCHE ADJUTANTEN;0.32336700336700336;98.5;{'closeness': 143, 'degree': 94, 'betweenness': 90};16;0.0
EIN ENGLISCHER LINIENSOLDAT;0.32336700336700336;90.16666666666666;{'closeness': 139, 'degree': 90, 'betweenness': 45};16;0.0
ZWEITER PIQUEUR;0.015;127.16666666666667;{'closeness': 201, 'degree': 200, 'betweenness': 92};3;0.0
ZEITUNGSAUSRUFER;0.3888259109311741;83.0;{'closeness': 66, 'degree': 66, 'betweenness': 93};18;0.0
AUSRUFER BEI EINEM GUCKKASTEN;0.3888259109311741;84.0;{'closeness': 67, 'degree': 67, 'betweenness': 94};18;0.0
ALLE;0.45195294117647056;14.0;{'closeness': 10, 'degree': 11, 'betweenness': 9};38;0.08185061327868486
CARNOT;0.43164044943820223;33.66666666666667;{'closeness': 32, 'degree': 68, 'betweenness': 30};18;0.01024215501003704
PIERRE;0.2941500765696784;124.66666666666667;{'closeness': 176, 'degree': 195, 'betweenness': 95};4;0.0
EIN GENSD'ARMES (1. AKT);0.3888259109311741;86.33333333333334;{'closeness': 68, 'degree': 69, 'betweenness': 96};18;0.0
SCHILDWACHE;0.3306024096385542;107.5;{'closeness': 133, 'degree': 127, 'betweenness': 97};11;0.0
MARSCHALL NEY;0.29103030303030303;107.16666666666667;{'closeness': 182, 'degree': 156, 'betweenness': 98};9;0.0
MARQUIS VON HAUTERIVE;0.3888259109311741;88.66666666666666;{'closeness': 69, 'degree': 70, 'betweenness': 99};18;0.0
EIN ADJUTANT (4. AKT);0.44669767441860464;60.5;{'closeness': 16, 'degree': 44, 'betweenness': 78};25;0.0
DIE AMME;0.3228235294117647;116.0;{'closeness': 155, 'degree': 144, 'betweenness': 100};10;0.0
BÜLOW;0.3736964980544747;50.666666666666664;{'closeness': 89, 'degree': 106, 'betweenness': 34};15;0.006570890417095132
MILHAUD;0.3826294820717131;36.0;{'closeness': 75, 'degree': 36, 'betweenness': 27};26;0.01095222142458323
SECHSTER JÄGER;0.3524403669724771;104.83333333333334;{'closeness': 116, 'degree': 112, 'betweenness': 101};12;0.0
