;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
JOHANN;0.6444444444444445;6.333333333333334;{'closeness': 5, 'degree': 6, 'betweenness': 3};14;0.10052157749202083
KRAFT;0.5471698113207547;20.5;{'closeness': 16, 'degree': 18, 'betweenness': 17};7;0.0
MINNA;0.4603174603174603;20.833333333333336;{'closeness': 25, 'degree': 22, 'betweenness': 18};4;0.0
STILLE;0.4603174603174603;21.833333333333336;{'closeness': 26, 'degree': 23, 'betweenness': 19};4;0.0
BELLER;0.35802469135802467;24.333333333333336;{'closeness': 30, 'degree': 30, 'betweenness': 20};1;0.0
SCHÖN;0.5576923076923077;9.666666666666668;{'closeness': 14, 'degree': 10, 'betweenness': 13};9;0.005819543073237655
SEDLBERGER;0.5686274509803921;14.0;{'closeness': 11, 'degree': 11, 'betweenness': 14};9;0.0003078817733990148
STÖBER;0.5471698113207547;21.0;{'closeness': 17, 'degree': 19, 'betweenness': 21};7;0.0
MARTIN;0.8055555555555556;1.0;{'closeness': 1, 'degree': 1, 'betweenness': 1};22;0.22152435686918448
ANNA;0.5471698113207547;9.5;{'closeness': 18, 'degree': 16, 'betweenness': 5};8;0.0712262491203378
SIDONIE;0.6170212765957447;10.166666666666668;{'closeness': 8, 'degree': 7, 'betweenness': 10};13;0.03264079926641503
STÖTZL;0.5686274509803921;13.5;{'closeness': 12, 'degree': 12, 'betweenness': 15};9;0.0003078817733990148
STOLZENTHALER;0.5918367346938775;11.0;{'closeness': 9, 'degree': 9, 'betweenness': 9};10;0.03405527832867734
SCHALANTER;0.6744186046511628;3.6666666666666665;{'closeness': 4, 'degree': 4, 'betweenness': 8};15;0.05128910498368626
KATSCHER;0.5576923076923077;17.5;{'closeness': 15, 'degree': 17, 'betweenness': 22};8;0.0
HUTTERER;0.58;10.333333333333332;{'closeness': 10, 'degree': 14, 'betweenness': 11};9;0.020227699230162287
ATZWANGER;0.48333333333333334;20.833333333333336;{'closeness': 22, 'degree': 26, 'betweenness': 23};3;0.0
BERGER;0.4603174603174603;25.0;{'closeness': 27, 'degree': 24, 'betweenness': 24};4;0.0
BARBARA;0.6444444444444445;5.0;{'closeness': 6, 'degree': 8, 'betweenness': 7};13;0.053991889336716926
JOSEPHA;0.7073170731707317;3.5;{'closeness': 2, 'degree': 3, 'betweenness': 4};17;0.077351719162064
SEEBURGER;0.5471698113207547;23.666666666666664;{'closeness': 19, 'degree': 20, 'betweenness': 25};7;0.0
MICHEL;0.42028985507246375;27.333333333333336;{'closeness': 29, 'degree': 28, 'betweenness': 26};2;0.0
WERNER;0.5471698113207547;25.333333333333336;{'closeness': 20, 'degree': 21, 'betweenness': 27};7;0.0
FREY;0.7073170731707317;6.166666666666667;{'closeness': 3, 'degree': 2, 'betweenness': 2};18;0.1666667555214353
HEDWIG;0.6444444444444445;5.5;{'closeness': 7, 'degree': 5, 'betweenness': 6};15;0.05544270999936024
TOMERL;0.46774193548387094;28.0;{'closeness': 24, 'degree': 29, 'betweenness': 28};2;0.0
EDUARD;0.5471698113207547;13.5;{'closeness': 21, 'degree': 15, 'betweenness': 12};9;0.00979650480882008
MOSTINGER;0.5686274509803921;14.5;{'closeness': 13, 'degree': 13, 'betweenness': 16};9;0.0003078817733990148
RESI;0.453125;23.166666666666664;{'closeness': 28, 'degree': 25, 'betweenness': 29};4;0.0
HÖLLER;0.48333333333333334;28.333333333333336;{'closeness': 23, 'degree': 27, 'betweenness': 30};3;0.0
