;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
BERNHARD;0.9259259259259259;1.5;{'closeness': 1, 'degree': 1, 'betweenness': 1};23;0.1218691077441077
DRITTER DIENER;0.5555555555555556;20.333333333333336;{'closeness': 22, 'degree': 22, 'betweenness': 21};6;0.0
RUDTHARDT;0.78125;8.166666666666668;{'closeness': 7, 'degree': 7, 'betweenness': 11};18;0.012688191438191441
KAISER LUDWIG;0.6944444444444444;14.833333333333332;{'closeness': 13, 'degree': 13, 'betweenness': 18};14;0.0011616161616161617
JUDITH;0.78125;7.166666666666667;{'closeness': 8, 'degree': 8, 'betweenness': 12};18;0.012688191438191441
ABDALLAH;0.6756756756756757;9.666666666666668;{'closeness': 15, 'degree': 15, 'betweenness': 10};13;0.014106060606060606
DIE FRANKEN;0.6944444444444444;17.833333333333332;{'closeness': 14, 'degree': 14, 'betweenness': 19};14;0.0011616161616161617
HUMFRIED;0.5681818181818182;20.833333333333336;{'closeness': 20, 'degree': 20, 'betweenness': 22};7;0.0
KARL;0.7575757575757576;6.5;{'closeness': 10, 'degree': 10, 'betweenness': 7};17;0.029780784030784033
TEMIN;0.5952380952380952;15.0;{'closeness': 19, 'degree': 19, 'betweenness': 13};9;0.01058080808080808
MATFRIED;0.8064516129032258;5.166666666666667;{'closeness': 3, 'degree': 3, 'betweenness': 4};19;0.05123563011063011
AGOBARD;0.6756756756756757;19.666666666666664;{'closeness': 16, 'degree': 16, 'betweenness': 20};13;0.0008888888888888889
ZWEITER DIENER;0.5555555555555556;23.0;{'closeness': 23, 'degree': 23, 'betweenness': 23};6;0.0
CHORKNABEN;0.6578947368421053;22.5;{'closeness': 18, 'degree': 18, 'betweenness': 24};12;0.0
HAMATELLIWA;0.5319148936170213;19.166666666666664;{'closeness': 24, 'degree': 24, 'betweenness': 25};5;0.0
LUDWIG;0.78125;4.833333333333333;{'closeness': 9, 'degree': 9, 'betweenness': 8};18;0.02166041366041366
ELISACHAR;0.49019607843137253;25.833333333333336;{'closeness': 26, 'degree': 25, 'betweenness': 26};4;0.0
ERSTER DIENER;0.5681818181818182;17.0;{'closeness': 21, 'degree': 21, 'betweenness': 9};7;0.014659090909090912
LOTHAR;0.8064516129032258;3.8333333333333335;{'closeness': 4, 'degree': 4, 'betweenness': 6};19;0.03173581048581048
FRECHULF;0.5102040816326531;23.166666666666664;{'closeness': 25, 'degree': 26, 'betweenness': 16};3;0.002142857142857143
SATILATLAS;0.8333333333333334;6.0;{'closeness': 2, 'degree': 2, 'betweenness': 2};20;0.07407190957190958
HUGO;0.8064516129032258;7.0;{'closeness': 5, 'degree': 5, 'betweenness': 5};19;0.05123563011063011
DIE DEUTSCHEN;0.8064516129032258;11.5;{'closeness': 6, 'degree': 6, 'betweenness': 3};19;0.06337247474747473
OTTGAR;0.6756756756756757;14.166666666666666;{'closeness': 17, 'degree': 17, 'betweenness': 15};13;0.003630952380952381
EBO;0.7142857142857143;14.833333333333332;{'closeness': 12, 'degree': 12, 'betweenness': 17};15;0.002050505050505051
WALA;0.7575757575757576;11.5;{'closeness': 11, 'degree': 11, 'betweenness': 14};17;0.005946127946127947
